CHILE,2,0.79,27.56
PARAGUAY,111,43.7,71.26
PERU,72,28.35,99.61
URUGUAY,1,0.39,100
Total,254,100,100
,,,
NSA :,293,,
,,,
AREA # 020010301,21,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,15,4.55,4.55
CHILE,1,0.3,4.85
PARAGUAY,306,92.73,97.58
PERU,7,2.12,99.7
RUSIA,1,0.3,100
Total,330,100,100
,,,
NSA :,264,,
,,,
AREA # 020010302,22,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,74,21.2,21.2
BRASIL,19,5.44,26.65
CANADA,2,0.57,27.22
COLOMBIA,1,0.29,27.51
CHILE,4,1.15,28.65
ECUADOR,2,0.57,29.23
PARAGUAY,200,57.31,86.53
PERU,37,10.6,97.13
URUGUAY,5,1.43,98.57
ITALIA,1,0.29,98.85
PORTUGAL,1,0.29,99.14
ALEMANIA,3,0.86,100
Total,349,100,100
,,,
NSA :,215,,
,,,
AREA # 020010303,23,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,26,6.65,6.65
PARAGUAY,325,83.12,89.77
PERU,40,10.23,100
Total,391,100,100
,,,
NSA :,268,,
,,,
AREA # 020010304,24,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,48,40.34,40.34
COLOMBIA,3,2.52,42.86
CHILE,1,0.84,43.7
PARAGUAY,38,31.93,75.63
PERU,28,23.53,99.16
URUGUAY,1,0.84,100
Total,119,100,100
,,,
NSA :,309,,
,,,
AREA # 020010305,25,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,83,15.43,15.43
CHILE,1,0.19,15.61
REPUBLICA DOMINICANA,1,0.19,15.8
PARAGUAY,356,66.17,81.97
PERU,96,17.84,99.81
URUGUAY,1,0.19,100
Total,538,100,100
,,,
NSA :,745,,
,,,
AREA # 020010306,26,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,270,37.04,37.04
BRASIL,1,0.14,37.17
CHILE,1,0.14,37.31
REPUBLICA DOMINICANA,1,0.14,37.45
PARAGUAY,214,29.36,66.8
PERU,241,33.06,99.86
URUGUAY,1,0.14,100
Total,729,100,100
,,,
NSA :,298,,
,,,
AREA # 020010307,27,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,41,14.29,14.29
BRASIL,1,0.35,14.63
CHILE,1,0.35,14.98
PARAGUAY,157,54.7,69.69
PERU,87,30.31,100
Total,287,100,100
,,,
NSA :,116,,
,,,
AREA # 020010308,28,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,334,63.14,63.14
CHILE,2,0.38,63.52
PARAGUAY,92,17.39,80.91
PERU,101,19.09,100
Total,529,100,100
,,,
NSA :,268,,
,,,
AREA # 020010309,29,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,273,35.97,35.97
CHILE,1,0.13,36.1
ECUADOR,1,0.13,36.23
PARAGUAY,186,24.51,60.74
PERU,296,39,99.74
URUGUAY,2,0.26,100
Total,759,100,100
,,,
NSA :,333,,
,,,
AREA # 020010310,30,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,158,29.92,29.92
PARAGUAY,257,48.67,78.6
PERU,111,21.02,99.62
URUGUAY,1,0.19,99.81
CHINA,1,0.19,100
Total,528,100,100
,,,
NSA :,217,,
,,,
AREA # 020010311,31,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,97,17.6,17.6
BRASIL,2,0.36,17.97
PARAGUAY,259,47.01,64.97
PERU,191,34.66,99.64
URUGUAY,1,0.18,99.82
CHINA,1,0.18,100
Total,551,100,100
,,,
NSA :,194,,
,,,
AREA # 020010312,32,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,92,23.77,23.77
BRASIL,1,0.26,24.03
PARAGUAY,212,54.78,78.81
PERU,82,21.19,100
Total,387,100,100
,,,
NSA :,174,,
,,,
AREA # 020010313,33,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,127,44.72,44.72
PARAGUAY,96,33.8,78.52
PERU,61,21.48,100
Total,284,100,100
,,,
NSA :,97,,
,,,
AREA # 020010314,34,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,95,31.05,31.05
PARAGUAY,153,50,81.05
PERU,58,18.95,100
Total,306,100,100
,,,
NSA :,165,,
,,,
AREA # 020010315,35,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
ANGOLA,1,0.16,0.16
BOLIVIA,169,27.7,27.87
PARAGUAY,334,54.75,82.62
PERU,105,17.21,99.84
URUGUAY,1,0.16,100
Total,610,100,100
,,,
NSA :,233,,
,,,
AREA # 020010316,36,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,96,17.55,17.55
BRASIL,1,0.18,17.73
PARAGUAY,288,52.65,70.38
PERU,160,29.25,99.63
URUGUAY,1,0.18,99.82
PORTUGAL,1,0.18,100
Total,547,100,100
,,,
NSA :,179,,
,,,
AREA # 020010317,37,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,75,20.33,20.33
PARAGUAY,243,65.85,86.18
PERU,50,13.55,99.73
ESPA�A,1,0.27,100
Total,369,100,100
,,,
NSA :,202,,
,,,
AREA # 020010318,38,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,166,28.38,28.38
COLOMBIA,7,1.2,29.57
CUBA,1,0.17,29.74
PARAGUAY,332,56.75,86.5
PERU,79,13.5,100
Total,585,100,100
,,,
NSA :,198,,
,,,
AREA # 020010319,39,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,155,29.64,29.64
ECUADOR,1,0.19,29.83
PARAGUAY,255,48.76,78.59
PERU,109,20.84,99.43
URUGUAY,2,0.38,99.81
ESPA�A,1,0.19,100
Total,523,100,100
,,,
NSA :,494,,
,,,
AREA # 020010320,40,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,71,25.36,25.36
PARAGUAY,163,58.21,83.57
PERU,46,16.43,100
Total,280,100,100
,,,
NSA :,117,,
,,,
AREA # 020010321,41,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,25,10.16,10.16
PARAGUAY,193,78.46,88.62
PERU,27,10.98,99.59
URUGUAY,1,0.41,100
Total,246,100,100
,,,
NSA :,54,,
,,,
AREA # 020010322,42,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,39,8.23,8.23
COLOMBIA,1,0.21,8.44
PARAGUAY,417,87.97,96.41
PERU,17,3.59,100
Total,474,100,100
,,,
NSA :,196,,
,,,
AREA # 020010323,43,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,30,5.85,5.85
COLOMBIA,1,0.19,6.04
PARAGUAY,452,88.11,94.15
PERU,29,5.65,99.81
URUGUAY,1,0.19,100
Total,513,100,100
,,,
NSA :,324,,
,,,
AREA # 020010401,44,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
ARGELIA,2,0.7,0.7
BENIN,1,0.35,1.05
SUDAFRICA,2,0.7,1.74
BOLIVIA,8,2.79,4.53
BRASIL,13,4.53,9.06
COLOMBIA,48,16.72,25.78
COSTA RICA,1,0.35,26.13
CHILE,22,7.67,33.8
REPUBLICA DOMINICANA,1,0.35,34.15
ECUADOR,19,6.62,40.77
ESTADOS UNIDOS,6,2.09,42.86
HONDURAS,1,0.35,43.21
MEXICO,9,3.14,46.34
PANAMA,4,1.39,47.74
PARAGUAY,43,14.98,62.72
PERU,11,3.83,66.55
URUGUAY,23,8.01,74.56
VENEZUELA,22,7.67,82.23
COREA DEMOCRATICA,3,1.05,83.28
CHINA,2,0.7,83.97
LIBANO,1,0.35,84.32
ARMENIA,1,0.35,84.67
DINAMARCA,1,0.35,85.02
ESPA�A,17,5.92,90.94
FRANCIA,6,2.09,93.03
IRLANDA,1,0.35,93.38
ITALIA,10,3.48,96.86
POLONIA,2,0.7,97.56
PORTUGAL,1,0.35,97.91
ALEMANIA,1,0.35,98.26
MOLDOVA,1,0.35,98.61
RUSIA,2,0.7,99.3
UCRANIA,1,0.35,99.65
ESLOVENIA,1,0.35,100
Total,287,100,100
,,,
NSA :,1185,,
,,,
AREA # 020010402,45,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,14,7.65,7.65
BRASIL,9,4.92,12.57
CANADA,1,0.55,13.11
COLOMBIA,21,11.48,24.59
CHILE,7,3.83,28.42
REPUBLICA DOMINICANA,1,0.55,28.96
ECUADOR,1,0.55,29.51
ESTADOS UNIDOS,12,6.56,36.07
PARAGUAY,26,14.21,50.27
PERU,10,5.46,55.74
PUERTO RICO,1,0.55,56.28
URUGUAY,13,7.1,63.39
VENEZUELA,2,1.09,64.48
COREA DEMOCRATICA,3,1.64,66.12
INDIA,4,2.19,68.31
ISRAEL,1,0.55,68.85
JAPON,2,1.09,69.95
ESPA�A,26,14.21,84.15
FRANCIA,1,0.55,84.7
GRECIA,2,1.09,85.79
HUNGRIA,1,0.55,86.34
ITALIA,13,7.1,93.44
POLONIA,2,1.09,94.54
REINO UNIDO,1,0.55,95.08
RUMANIA,1,0.55,95.63
SUIZA,1,0.55,96.17
ALEMANIA,5,2.73,98.91
UCRANIA,1,0.55,99.45
AUSTRALIA,1,0.55,100
Total,183,100,100
,,,
NSA :,1116,,
,,,
AREA # 020010403,46,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
NIGERIA,5,2.07,2.07
BOLIVIA,7,2.9,4.98
BRASIL,30,12.45,17.43
CANADA,2,0.83,18.26
COLOMBIA,6,2.49,20.75
CUBA,11,4.56,25.31
CHILE,3,1.24,26.56
REPUBLICA DOMINICANA,6,2.49,29.05
EL SALVADOR,1,0.41,29.46
ESTADOS UNIDOS,31,12.86,42.32
GUATEMALA,1,0.41,42.74
HONDURAS,1,0.41,43.15
MEXICO,7,2.9,46.06
NICARAGUA,1,0.41,46.47
PARAGUAY,25,10.37,56.85
PERU,22,9.13,65.98
URUGUAY,16,6.64,72.61
COREA DEMOCRATICA,4,1.66,74.27
CHINA,7,2.9,77.18
FILIPINAS,2,0.83,78.01
TAIWAN,1,0.41,78.42
JAPON,3,1.24,79.67
LAO,1,0.41,80.08
KAZAJISTAN,1,0.41,80.5
ALBANIA,1,0.41,80.91
BELGICA,1,0.41,81.33
DINAMARCA,1,0.41,81.74
ESPA�A,14,5.81,87.55
FRANCIA,6,2.49,90.04
IRLANDA,1,0.41,90.46
ITALIA,5,2.07,92.53
POLONIA,1,0.41,92.95
REINO UNIDO,9,3.73,96.68
SUECIA,1,0.41,97.1
ALEMANIA,1,0.41,97.51
UCRANIA,5,2.07,99.59
AUSTRALIA,1,0.41,100
Total,241,100,100
,,,
NSA :,948,,
,,,
AREA # 020010404,47,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,7,3.21,3.21
BRASIL,18,8.26,11.47
COLOMBIA,6,2.75,14.22
CUBA,2,0.92,15.14
CHILE,3,1.38,16.51
REPUBLICA DOMINICANA,1,0.46,16.97
ECUADOR,6,2.75,19.72
ESTADOS UNIDOS,14,6.42,26.15
MEXICO,2,0.92,27.06
PARAGUAY,67,30.73,57.8
PERU,14,6.42,64.22
URUGUAY,19,8.72,72.94
COREA DEMOCRATICA,2,0.92,73.85
INDIA,1,0.46,74.31
BELGICA,2,0.92,75.23
ESPA�A,17,7.8,83.03
FRANCIA,6,2.75,85.78
IRLANDA,1,0.46,86.24
ITALIA,16,7.34,93.58
POLONIA,4,1.83,95.41
REINO UNIDO,4,1.83,97.25
SUIZA,1,0.46,97.71
CHIPRE,1,0.46,98.17
ALEMANIA,4,1.83,100
Total,218,100,100
,,,
NSA :,1327,,
,,,
AREA # 020010405,48,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
SIERRA LEONA,1,1,1
BOLIVIA,4,4,5
BRASIL,2,2,7
COLOMBIA,1,1,8
CHILE,2,2,10
ECUADOR,1,1,11
ESTADOS UNIDOS,8,8,19
MEXICO,1,1,20
PARAGUAY,33,33,53
PERU,3,3,56
URUGUAY,7,7,63
VENEZUELA,5,5,68
COREA DEMOCRATICA,1,1,69
ISRAEL,1,1,70
LIBANO,1,1,71
ESPA�A,14,14,85
FRANCIA,2,2,87
GRECIA,1,1,88
ITALIA,7,7,95
PORTUGAL,1,1,96
REINO UNIDO,1,1,97
ALEMANIA,1,1,98
RUSIA,2,2,100
Total,100,100,100
,,,
NSA :,969,,
,,,
AREA # 020010406,49,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,9,4.97,4.97
BRASIL,19,10.5,15.47
COLOMBIA,1,0.55,16.02
COSTA RICA,2,1.1,17.13
CHILE,19,10.5,27.62
ESTADOS UNIDOS,10,5.52,33.15
MEXICO,2,1.1,34.25
PARAGUAY,60,33.15,67.4
PERU,20,11.05,78.45
URUGUAY,9,4.97,83.43
ARABIA SAUDITA,1,0.55,83.98
COREA DEMOCRATICA,2,1.1,85.08
ISRAEL,1,0.55,85.64
BELGICA,1,0.55,86.19
ESPA�A,9,4.97,91.16
FRANCIA,1,0.55,91.71
ITALIA,6,3.31,95.03
PORTUGAL,3,1.66,96.69
REINO UNIDO,4,2.21,98.9
SUIZA,1,0.55,99.45
AUSTRALIA,1,0.55,100
Total,181,100,100
,,,
NSA :,1090,,
,,,
AREA # 020010407,50,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,7,3.68,3.68
BRASIL,4,2.11,5.79
COLOMBIA,2,1.05,6.84
CUBA,2,1.05,7.89
CHILE,5,2.63,10.53
ESTADOS UNIDOS,3,1.58,12.11
MEXICO,1,0.53,12.63
PANAMA,1,0.53,13.16
PARAGUAY,36,18.95,32.11
PERU,22,11.58,43.68
URUGUAY,13,6.84,50.53
VENEZUELA,1,0.53,51.05
COREA DEMOCRATICA,24,12.63,63.68
COREA REPUBLICANA,7,3.68,67.37
CHINA,1,0.53,67.89
ISRAEL,1,0.53,68.42
LIBANO,1,0.53,68.95
ESPA�A,11,5.79,74.74
FRANCIA,1,0.53,75.26
GRECIA,1,0.53,75.79
ITALIA,24,12.63,88.42
REINO UNIDO,5,2.63,91.05
ALEMANIA,17,8.95,100
Total,190,100,100
,,,
NSA :,1203,,
,,,
AREA # 020010408,51,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,13,10.08,10.08
BRASIL,4,3.1,13.18
CHILE,6,4.65,17.83
REPUBLICA DOMINICANA,1,0.78,18.6
ESTADOS UNIDOS,7,5.43,24.03
PARAGUAY,25,19.38,43.41
PERU,11,8.53,51.94
URUGUAY,8,6.2,58.14
VENEZUELA,1,0.78,58.91
TAIWAN,4,3.1,62.02
AUSTRIA,1,0.78,62.79
BULGARIA,2,1.55,64.34
ESPA�A,15,11.63,75.97
FRANCIA,9,6.98,82.95
ITALIA,9,6.98,89.92
REINO UNIDO,3,2.33,92.25
SUECIA,1,0.78,93.02
SUIZA,2,1.55,94.57
ALEMANIA,2,1.55,96.12
RUSIA,2,1.55,97.67
MONTENEGRO,3,2.33,100
Total,129,100,100
,,,
NSA :,999,,
,,,
AREA # 020010501,52,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,2,2.22,2.22
BRASIL,4,4.44,6.67
CANADA,1,1.11,7.78
CHILE,6,6.67,14.44
ECUADOR,2,2.22,16.67
ESTADOS UNIDOS,7,7.78,24.44
PARAGUAY,25,27.78,52.22
PERU,8,8.89,61.11
URUGUAY,4,4.44,65.56
COREA REPUBLICANA,1,1.11,66.67
HONG KONG,1,1.11,67.78
ESPA�A,11,12.22,80
FRANCIA,4,4.44,84.44
ITALIA,4,4.44,88.89
POLONIA,2,2.22,91.11
REINO UNIDO,3,3.33,94.44
ALEMANIA,3,3.33,97.78
UCRANIA,1,1.11,98.89
AUSTRALIA,1,1.11,100
Total,90,100,100
,,,
NSA :,541,,
,,,
AREA # 020010502,53,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
MARRUECOS,2,3.77,3.77
BOLIVIA,2,3.77,7.55
BRASIL,5,9.43,16.98
COLOMBIA,4,7.55,24.53
CUBA,1,1.89,26.42
CHILE,6,11.32,37.74
ECUADOR,1,1.89,39.62
EL SALVADOR,1,1.89,41.51
ESTADOS UNIDOS,4,7.55,49.06
PARAGUAY,14,26.42,75.47
PERU,1,1.89,77.36
URUGUAY,2,3.77,81.13
ESPA�A,2,3.77,84.91
FRANCIA,1,1.89,86.79
ITALIA,3,5.66,92.45
POLONIA,1,1.89,94.34
ALEMANIA,1,1.89,96.23
ESLOVENIA,1,1.89,98.11
NUEVA ZELANDA,1,1.89,100
Total,53,100,100
,,,
NSA :,480,,
,,,
AREA # 020010503,54,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,3,1.88,1.88
BRASIL,49,30.63,32.5
COLOMBIA,10,6.25,38.75
CHILE,13,8.13,46.88
ECUADOR,5,3.13,50
EL SALVADOR,2,1.25,51.25
ESTADOS UNIDOS,9,5.63,56.88
HONDURAS,2,1.25,58.13
MEXICO,1,0.63,58.75
PARAGUAY,5,3.13,61.88
PERU,6,3.75,65.63
URUGUAY,8,5,70.63
HONG KONG,2,1.25,71.88
BELGICA,1,0.63,72.5
ESPA�A,13,8.13,80.63
FRANCIA,8,5,85.63
IRLANDA,1,0.63,86.25
ITALIA,9,5.63,91.88
PAISES BAJOS,1,0.63,92.5
PORTUGAL,1,0.63,93.13
REINO UNIDO,1,0.63,93.75
SUECIA,1,0.63,94.38
SUIZA,6,3.75,98.13
ALEMANIA,1,0.63,98.75
NUEVA ZELANDA,2,1.25,100
Total,160,100,100
,,,
NSA :,768,,
,,,
AREA # 020010504,55,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,2,1.59,1.59
BRASIL,11,8.73,10.32
COLOMBIA,11,8.73,19.05
CUBA,1,0.79,19.84
CHILE,4,3.17,23.02
ESTADOS UNIDOS,5,3.97,26.98
GUATEMALA,1,0.79,27.78
MEXICO,1,0.79,28.57
PARAGUAY,28,22.22,50.79
PERU,7,5.56,56.35
URUGUAY,14,11.11,67.46
SIRIA,1,0.79,68.25
BELGICA,1,0.79,69.05
DINAMARCA,1,0.79,69.84
ESPA�A,14,11.11,80.95
FRANCIA,5,3.97,84.92
ITALIA,8,6.35,91.27
POLONIA,1,0.79,92.06
REINO UNIDO,1,0.79,92.86
RUMANIA,1,0.79,93.65
SUECIA,1,0.79,94.44
ALEMANIA,5,3.97,98.41
UCRANIA,2,1.59,100
Total,126,100,100
,,,
NSA :,1074,,
,,,
AREA # 020010505,56,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,8,7.62,7.62
BRASIL,7,6.67,14.29
CANADA,1,0.95,15.24
COLOMBIA,9,8.57,23.81
COSTA RICA,2,1.9,25.71
CHILE,6,5.71,31.43
ECUADOR,5,4.76,36.19
ESTADOS UNIDOS,3,2.86,39.05
MEXICO,1,0.95,40
PARAGUAY,12,11.43,51.43
PERU,10,9.52,60.95
URUGUAY,14,13.33,74.29
JAPON,2,1.9,76.19
BELGICA,1,0.95,77.14
ESPA�A,10,9.52,86.67
FRANCIA,4,3.81,90.48
ITALIA,4,3.81,94.29
PORTUGAL,2,1.9,96.19
REINO UNIDO,1,0.95,97.14
ALEMANIA,3,2.86,100
Total,105,100,100
,,,
NSA :,532,,
,,,
AREA # 020010506,57,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,5,4.42,4.42
BRASIL,8,7.08,11.5
COLOMBIA,9,7.96,19.47
CHILE,2,1.77,21.24
ECUADOR,8,7.08,28.32
ESTADOS UNIDOS,4,3.54,31.86
GUATEMALA,1,0.88,32.74
MEXICO,1,0.88,33.63
PANAMA,2,1.77,35.4
PARAGUAY,13,11.5,46.9
PERU,17,15.04,61.95
URUGUAY,14,12.39,74.34
VENEZUELA,6,5.31,79.65
AUSTRIA,1,0.88,80.53
ESPA�A,2,1.77,82.3
FRANCIA,3,2.65,84.96
ITALIA,12,10.62,95.58
PAISES BAJOS,1,0.88,96.46
PORTUGAL,1,0.88,97.35
SUECIA,1,0.88,98.23
ALEMANIA,2,1.77,100
Total,113,100,100
,,,
NSA :,775,,
,,,
AREA # 020010507,58,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
COLOMBIA,7,12.5,12.5
CHILE,2,3.57,16.07
ECUADOR,1,1.79,17.86
ESTADOS UNIDOS,5,8.93,26.79
PARAGUAY,12,21.43,48.21
PERU,6,10.71,58.93
URUGUAY,2,3.57,62.5
VENEZUELA,3,5.36,67.86
INDIA,2,3.57,71.43
JAPON,2,3.57,75
ESPA�A,4,7.14,82.14
FRANCIA,3,5.36,87.5
ITALIA,2,3.57,91.07
POLONIA,1,1.79,92.86
REINO UNIDO,1,1.79,94.64
ALEMANIA,3,5.36,100
Total,56,100,100
,,,
NSA :,541,,
,,,
AREA # 020010601,59,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
BOLIVIA,4,2,2
BRASIL,10,5,7
CANADA,2,1,8
COLOMBIA,10,5,13
CHILE,3,1.5,14.5
ECUADOR,7,3.5,18
ESTADOS UNIDOS,14,7,25
GUATEMALA,1,0.5,25.5
HAITI,2,1,26.5
MEXICO,2,1,27.5
PANAMA,1,0.5,28
PARAGUAY,28,14,42
PERU,11,5.5,47.5
URUGUAY,8,4,51.5
VENEZUELA,4,2,53.5
JAPON,3,1.5,55
KUWAIT,1,0.5,55.5
TAILANDIA,2,1,56.5
ESPA�A,52,26,82.5
FRANCIA,5,2.5,85
ITALIA,16,8,93
REINO UNIDO,2,1,94
SUECIA,1,0.5,94.5
SUIZA,2,1,95.5
ALEMANIA,6,3,98.5
RUSIA,2,1,99.5
UCRANIA,1,0.5,100
Total,200,100,100
,,,
NSA :,748,,
,,,
AREA # 020010602,60,,
,,,
Pais de nacimiento,Casos,%,Acumulado %
NIGERIA,1,0.74,0.74
BOLIVIA,2,1.47,2.21
BRASIL,10,7.35,9.56
CANADA,2,1.47,11.03
COLOMBIA,3,2.21,13.24
CHILE,4,2.94,16.18
REPUBLICA DOMINICANA,1,0.74,16.91
ESTADOS UNIDOS,12,8.82,25.74
MEXICO,2,1.47,27.21
